A_Node in-degree,A_Node out-degree,A_Eigenvector centrality,A_Page rank,A_HITS,B_Node in-degree,B_Node out-degree,B_Eigenvector centrality,B_Page rank,B_HITS
17,20,0.06607411537138097,0.0018564375422359047,0.004499122814868211,23,17,0.0543669843296883,0.002463990016252685,0.0036127754521357988
16,17,0.05675930452011555,0.0021994680950593154,0.003577585701650084,23,17,0.05356900207886508,0.002568233146773963,0.0034265175596613737
2,1,0.0,0.0008120193461696576,3.313204296555727e-29,0,1,0.0,0.0003007479048160095,3.3927211996730646e-26
22,20,0.06754481264852366,0.0024675743853228667,0.004552756752995016,21,19,0.060113526858320075,0.0024786745841367,0.0043170370438559095
20,18,0.060687563499706734,0.001981902830511157,0.004267776337019667,22,21,0.06619199457403085,0.0023671477186318034,0.004989027017615463
26,17,0.04982340403151201,0.0029130459188692836,0.0034998441999303234,19,23,0.07571520449479997,0.00208782743053542,0.005558616912063376
18,14,0.04297323367034618,0.001947421570213136,0.003038028855271197,19,23,0.07571520449479997,0.00208782743053542,0.005558616912063376
22,16,0.05037308206788068,0.0024233865512008203,0.003219543638695263,22,12,0.035898879300887775,0.002616873233530744,0.002513076887201385
16,18,0.06010140519815149,0.001959946533451008,0.003847386304869057,28,18,0.06755172997597207,0.002993996663614057,0.003836118364994185
14,23,0.07538463547478463,0.0016067610635524636,0.005041709237621511,27,20,0.06489901134497676,0.002850137254689173,0.004001349185451838
21,19,0.06083627549777173,0.00229966903847219,0.0038726395276706895,18,15,0.04891686016953204,0.0019212496246608646,0.003529185406504578
20,12,0.04494318321786189,0.0023027249464836115,0.00267587290774099,17,12,0.03633192216111705,0.00197795203885068,0.002573202966312328
16,16,0.05185131366128771,0.0018908389696706903,0.003693783363041301,22,24,0.08492322264578948,0.0024574541577205896,0.00496422290405038
23,24,0.0722732266560992,0.0025562901754283807,0.004999670425295167,16,18,0.0666561273699981,0.0018755280305261903,0.003852615847893213
1,1,0.0,0.0005563836254928336,3.313204296555727e-29,0,1,0.0,0.0003007479048160095,3.313204296555727e-29
16,16,0.05185131366128771,0.0018908389696706903,0.003693783363041301,20,18,0.05987535320813202,0.0021462892550555904,0.003669315828943892
18,16,0.052087432346627494,0.00224428094956653,0.0033507236885131656,19,25,0.08080255865079757,0.002137243283644959,0.0054634137602204156
23,24,0.0722732266560992,0.0025562901754283807,0.004999670425295167,22,26,0.08001683991578497,0.002515454125941312,0.005677465423372563
18,19,0.05368796101194284,0.0029658397576247915,0.0035757528504286183,15,24,0.0746070613866996,0.0022715120565483847,0.004662878284309534
20,10,0.031916568513016046,0.0023218038686350635,0.0020669605720256886,16,16,0.04927795934726291,0.0017228467162149672,0.003407769958074138
3,2,0.00015342368913568826,0.0007379474755464671,9.695139248625729e-08,2,6,0.0027947168068158837,0.0008033490450987485,0.00019088737706249623
20,12,0.04494318321786189,0.0023027249464836115,0.00267587290774099,15,12,0.0383997392785269,0.0016805001571394017,0.002845903549250717
30,27,0.08565069610766854,0.0033437754316397055,0.005385134777368868,19,20,0.07012517719588669,0.001987453991611382,0.00448947803155109
23,16,0.05137435294777026,0.0026318376622037525,0.003224996899196666,20,30,0.10002211740313345,0.002259757146481442,0.006606968074940741
25,18,0.057129430180108014,0.002676728807908981,0.003922011490487174,9,22,0.07529831788867117,0.0011420934472398591,0.004694908392826819
21,19,0.06083627549777173,0.00229966903847219,0.0038726395276706895,18,27,0.08679493799346617,0.0021576222866551186,0.005870363594412932
20,12,0.04494318321786189,0.0023027249464836115,0.00267587290774099,19,20,0.05814738990466368,0.0020655712202667627,0.004062208462544729
9,22,0.07529831788867117,0.0011420934472398591,0.004694908392826819,13,16,0.0534272287389969,0.0016681931304396197,0.002981671479046884
19,21,0.06467281793086219,0.0022517580668419235,0.004683449295471779,15,28,0.08978690152567965,0.0017414693427008313,0.005556871563770599
18,21,0.06604103051746806,0.0023829007116721473,0.004325587810522577,25,22,0.07224977282005232,0.002590123111817741,0.004871113176521463
20,18,0.05886020445700278,0.002387138918937254,0.0036591359277373175,22,21,0.06619199457403085,0.0023671477186318034,0.004989027017615463
23,27,0.0897361181922247,0.002519717461340013,0.005744631113170816,18,19,0.06341538072953293,0.0019637813124942414,0.004296190652839958
22,23,0.06812396940932892,0.002362384729387352,0.004526818505199753,17,25,0.08226931867866669,0.00190971457944273,0.004968717262222408
25,21,0.07042966191634614,0.0027213741165671374,0.004337509506635948,17,26,0.07962504018094939,0.002063400438700303,0.005596110331492586
21,22,0.0735863814985223,0.0023706817922237115,0.004526377327965217,15,18,0.056236893961695615,0.001955047137709805,0.003774688162301276
18,21,0.06521960639061297,0.001975539997647279,0.0043978896902800955,36,28,0.0882036547121667,0.0038586383685534085,0.0059674894706802
1,0,0.0,0.0005563836254928336,0.0,0,1,0.0,0.0003007479048160095,3.313204296555727e-29
19,22,0.07696243696743975,0.0021916546864348472,0.004757179032764872,14,14,0.04631536011789902,0.00152329946995261,0.002943787301962851
24,24,0.07649715120136505,0.00253240550740099,0.0054821066711009045,20,14,0.048423104204204585,0.0024217458290074195,0.0028252861595759503
18,10,0.030978743601656072,0.00205047652117624,0.0020119828825927778,21,16,0.054069940773005074,0.0024958444252689664,0.003503144323500691
18,23,0.07726457246969175,0.002045745135610805,0.0049958068166385625,19,20,0.06384287796506707,0.0022519636377178174,0.004122315503798527
17,15,0.05450896875765655,0.002000229985824119,0.003319920934517284,23,20,0.06511589931256194,0.0024617661623939618,0.004523981171889879
